RK,TEAM,P,YC,RC,PTS
1,Watford,38,77,4,89
2,Manchester United,38,73,4,85
3,Southampton,38,71,3,80
4,Burnley,38,75,1,78
,Arsenal,38,72,2,78
6,Wolverhampton Wanderers,38,72,1,75
7,Fulham,38,68,2,74
8,Leicester City,38,57,5,72
,Brighton & Hove Albion,38,60,4,72
10,Cardiff City,38,66,1,69
11,Everton,38,55,4,67
,Huddersfield Town,38,55,4,67
13,Tottenham Hotspur,38,56,3,65
14,Crystal Palace,38,58,2,64
15,Newcastle United,38,57,2,63
,AFC Bournemouth,38,60,1,63
17,West Ham United,38,59,1,62
18,Chelsea,38,49,0,49
19,Manchester City,38,44,1,47
20,Liverpool,38,37,2,43
