Team,Goals,Shots pg,,Possession%,Pass%,,
1. Manchester City,57,20.3,,64.5,89.7,,
2. Liverpool,55,17.7,,60.1,85.7,,
3. Chelsea,39,17.1,,60.6,87.4,,
4. Arsenal,42,13.5,,58.2,84.1,,
5. Tottenham,34,16.3,,58.5,84.6,,
6. Wolves,28,14.2,,47.7,79.1,,
7. Leicester,24,15.7,,53.2,81.4,,
8. West Ham,32,12.9,,49.5,79.8,,
9. Everton,30,14.7,,52.6,78.5,,
10. Crystal Palace,19,15.5,,48.5,77.8,,
11. Bournemouth,30,12,,47.5,76.8,,
12. Southampton,27,13.6,,45.6,75.1,,
13. Newcastle,24,14.1,,45.8,74.5,,
14. Manchester United,33,14.9,,54.5,82.8,,
15. Burnley,24,11.1,,44.7,71.6,,
16. Watford,26,11.8,,47.4,76.8,,
17. Fulham,22,14.4,,49.6,80.4,,
18. Brighton,19,10.8,,45.4,75.4,,
19. Cardiff,21,12.1,,40,63.9,,
20. Huddersfield,10,10.7,,48.4,76.1,,
